BNS_Section,BNS_Title,Status,IPC_Section,IPC_Title
2(33),"'voluntarily'","",39,"""Voluntarily"""
2(34),"'will'","",31,"""A will"""
2(35),"'woman'","",10,"""Man"". ""Woman"""
2(36),"'wrongful gain'","",23,"""Wrongful gain"""
2(37),"'wrongful loss'","",23,"""Wrongful loss"""
2(38),"'gaining wrongfully' and 'losing wrongfully'","",23,"""gaining wrongfully' and 'losing wrongfully"""
2(39),"[New Sub-Section]","New Sub-Section",,
3(1),"General explanations","",6,"Definitions in the Code to be understood subject to exceptions"
3(2),"General explanations","",7,"Sense of expression once explained"
3(3),"General explanations","",27,"Property in possession of wife, clerk or servant"
3(4),"General explanations","",32,"Words referring to acts include illegal omissions"
3(5),"General explanations","",34,"Acts done by several persons in furtherance of common intention"
3(6),"General explanations","",35,"When such an act is criminal by reason of its being done with a criminal knowledge or intention"
3(7),"General explanations","",36,"Effect caused partly by act and partly by omission"
3(8),"General explanations","",37,"Co-operation by doing one of several acts constituting an offence"
3(9),"General explanations","",38,"Persons concerned in criminal act may be guilty of different offences"
4,"Punishments","Change",53,"Punishments"
,"","Deleted",53A,"Construction of reference to transportation"
5(a),"Commutation of sentence","",54,"Commutation of sentence of death"
5(b),"Commutation of sentence","",55,"Commutation of sentence of imprisonment for life"
6,"Fractions of terms of punishment","",57,"Fractions of terms of punishment"
7,"Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple","",60,"Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple"
8(1),"Amount of fine, liability in default of payment of fine, etc.","Change",63,"Amount of fine"
8(2),"Amount of fine, liability in default of payment of fine, etc.","",64,"Sentence of imprisonment for non-payment of fine"
8(3),"Amount of fine, liability in default of payment of fine, etc.","",65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable"
8(4),"Amount of fine, liability in default of payment of fine, etc.","",66,"Description of imprisonment for non-payment of fine"
8(5),"Amount of fine, liability in default of payment of fine, etc.","",67,"Imprisonment for non-payment of fine, when offence punishable with fine only"
8(6)(a),"Amount of fine, liability in default of payment of fine, etc.","",68,"Imprisonment to terminate on payment of fine"
8(6)(b),"Amount of fine, liability in default of payment of fine, etc.","",69,"Termination of imprisonment on payment of proportional part of fine"
8(7),"Amount of fine, liability in default of payment of fine, etc.","",70,"Fine leviable within six years, of during imprisonment. Death not to discharge property from liability"
9,"Limit of punishment of offence made up of several offences","",71,"Limit of punishment of offence made up of several offences"
10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which","",72,"Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which"
11,"Solitary confinement","",73,"Solitary confinement"
12,"Limit of solitary confinement","",74,"Limit of solitary confinement"
13,"Enhanced punishment for certain offences after previous conviction","",75,"Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction"
14,"Act done by a person bound, or by mistake of fact believing himself bound, by law","",76,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
15,"Act of Judge when acting judicially","",77,"Act of Judge when acting judicially"
16,"Act done pursuant to judgment or order of Court","",78,"Act done pursuant to the judgment or order of Court"
17,"Act done by a person justified, or by mistake of fact believing himself justified, by law","",79,"Act done by a person justified, or by mistake of fact believing himself, justified, by law"
18,"Accident in doing a lawful act","",80,"Accident in doing a lawful act"
19,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","",81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm"
20,"Act of a child under seven years of age","",82,"Act of a child under seven years of age"
21,"Act of a child above seven and under twelve years of age of immature understanding","",83,"Act of a child above seven and under twelve of immature understanding"
22,"Act of a person of unsound mind","",84,"Act of a person of unsound mind"
23,"Act of a person incapable of judgment by reason of intoxication caused against his will","",85,"Act of a person incapable of judgment by reason of intoxication caused against his will"
24,"Offence requiring a particular intent or knowledge committed by one who is intoxicated","",86,"Offence requiring a particular intent or knowledge committed by one who is intoxicated"
25,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent","",87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent"
26,"Act not intended to cause death, done by consent in good faith for person's benefit","",88,"Act not intended to cause death, done by consent in good faith for person's benefit"
27,"Act done in good faith for benefit of child or person of unsound mind, by or by consent of guardian","",89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian"
28,"Consent known to be given under fear or misconception","",90,"Consent known to be given under fear or misconception"
29,"Exclusion of acts which are offences independently of harm caused","",91,"Exclusion of acts which are offences independently of harm caused"
30,"Act done in good faith for benefit of a person without consent","",92,"Act done in good faith for benefit of a person without consent"
31,"Communication made in good faith","",93,"Communication made in good faith"
32,"Act to which a person is compelled by threats","",94,"Act to which a person is compelled by threats"
33,"Act causing slight harm","",95,"Act causing slight harm"
34,"Things done in private defence","",96,"Things done in private defence"
35,"Right of private defence of body and of property","",97,"Right of private defence of the body and of property"
36,"Right of private defence against act of a person of unsound mind, etc.","",98,"Right of private defence against the act of a person of unsound mind, etc."
37,"Acts against which there is no right of private defence","",99,"Acts against which there is no right of private defence"
38,"When right of private defence of body extends to causing death","",100,"When the right of private defence of the body extends to causing death"
39,"When such right extends to causing any harm other than death","",101,"When such right extends to causing any harm other than death"
40,"Commencement and continuance of right of private defence of body","",102,"Commencement and continuance of the right of private defence of the body"
41,"When right of private defence of property extends to causing death","",103,"When the right of private defence of property extends to causing death"
42,"When such right extends to causing any harm other than death","",104,"When such right extends to causing any harm other than death"
43,"Commencement and continuance of right of private defence of property","",105,"Commencement and continuance of the right of private defence of property"
44,"Right of private defence against deadly assault when there is risk of harm to innocent person","",106,"Right of private defence against deadly assault when there is risk of harm to innocent person"
45,"Abetment of a thing","",107,"Abetment of a thing"
46,"Abettor","",108,"Abettor"
47,"Abetment in India of offences outside India","",108A,"Abetment in India of offences outside India"
48,"Abetment outside India for offence in India","New Section",,
49,"Punishment of abetment if act abetted is committed in consequence and where no express provision is made for its punishment","",109,"Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment"
50,"Punishment of abetment if person abetted does act with different intention from that of abettor","",110,"Punishment of abetment if person abetted does act with different intention from that of abettor"
51,"Liability of abettor when one act abetted and different act done","",111,"Liability of abettor when one act abetted and different act done"
52,"Abettor when liable to cumulative punishment for act abetted and for act done","",112,"Abettor when liable to cumulative punishment for act abetted and for act done"
53,"Liability of abettor for an effect caused by act abetted different from that intended by abettor","",113,"Liability of abettor for an effect caused by the act abetted different from that intended by the abettor"
54,"Abettor present when offence is committed","",114,"Abettor present when offence is committed"
55,"Abetment of offence punishable with death or imprisonment for life","",115,"Abetment of offence punishable with death or imprisonment for life—if offence not committed"
56,"Abetment of offence punishable with imprisonment","",116,"Abetment of offence punishable with imprisonment—if offence be not committed"
57,"Abetting commission of offence by public or by more than ten persons","Change",117,"Abetting commission of offence by the public or by more than ten persons"
58,"Concealing design to commit offence punishable with death or imprisonment for life","",118,"Concealing design to commit offence punishable with death or imprisonment for life"
59,"Public servant concealing design to commit offence which it is his duty to prevent","",119,"Public servant concealing design to commit offence which it is his duty to prevent"
60,"Concealing design to commit offence punishable with imprisonment","",120,"Concealing design to commit offence punishable with imprisonment"
61(1),"Criminal conspiracy","",120A,"Definition of criminal conspiracy"
61(2),"Criminal conspiracy","",120B,"Punishment of criminal conspiracy"
62,"Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment","",511,"Punishment for attempting to commit offences punishable with imprisonment for life or other imprisonment"
63,"Rape","",375,"Rape"
64,"Punishment for rape","",376,"Punishment for rape"
65(1),"Punishment for rape in certain cases","",376(3),
65(2),"Punishment for rape in certain cases","",376AB,"Punishment for rape on woman under twelve years of age"
66,"Punishment for causing death or resulting in persistent vegetative state of victim","",376A,"Punishment for causing death or resulting in persistent vegetative state of victim"
67,"Sexual intercourse by husband upon his wife during separation","",376B,"Sexual intercourse by husband upon his wife during separation"
68,"Sexual intercourse by a person in authority","",376C,"Sexual intercourse by a person in authority"
69,"Sexual intercourse by employing deceitful means etc.","New Section",,
70(1),"Gang rape","",376D,"Gang rape"
70(2),"Gang rape (below 18 years)","Change",376DA,"Punishment for gang rape on woman under sixteen years of age"
70(2),"Gang rape (below 18 years)","Change",376DB,"Punishment for gang rape on woman under twelve years of age"
71,"Punishment for repeat offenders","",376E,"Punishment for repeat offenders"
,"","Deleted",377,"Unnatural Offences"
72,"Disclosure of identity of victim of certain offences, etc.","",228A,"Disclosure of identity of the victim of certain offences, etc."
73,"Printing or publishing of any matter relating to Court proceedings without permission","",228A(3),
74,"Assault or use of criminal force to woman with intent to outrage her modesty","",354,"Assault or criminal force to woman with intent to outrage her modesty"
75,"Sexual harassment","",354A,"Sexual harassment and punishment for sexual harassment"
76,"Assault or use of criminal force to woman with intent to disrobe","Change",354B,"Assault or use of criminal force to woman with intent to disrobe"
77,"Voyeurism","Change",354C,"Voyeurism"
78,"Stalking","",354D,"Stalking"
79,"Word, gesture or act intended to insult modesty of a woman","",509,"Word, gesture or act intended to insult the modesty of a woman"
80,"Dowry death","",304B,"Dowry death"
81,"Cohabitation caused by man deceitfully inducing belief of lawful marriage","",493,"Cohabitation caused by a man deceitfully inducing a belief of lawful marriage"
82(1),"Marrying again during lifetime of husband or wife","",494,"Marrying again during lifetime of husband or wife"
82(2),"Marrying again during lifetime of husband or wife","",495,"Same offence with concealment of former marriage from person with whom subsequent marriage is contracted"
83,"Marriage ceremony fraudulently gone through without lawful marriage","",496,"Marriage ceremony fraudulently gone through without lawful marriage"
,"","Deleted",497,"Adultery"
84,"Enticing or taking away or detaining with criminal intent a married woman","",498,"Enticing or taking away or detaining with criminal intent a married woman"
85,"Husband or relative of husband of a woman subjecting her to cruelty","",498A,"Husband or relative of husband of a woman subjecting her to cruelty"
86,"Cruelty Defined","",498A,"Explanation"
87,"Kidnapping, abducting or inducing woman to compel her marriage, etc.","",366,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
88,"Causing miscarriage","",312,"Causing miscarriage"
89,"Causing miscarriage without woman's consent","",313,"Causing miscarriage without woman's consent"
90,"Death caused by act done with intent to cause miscarriage","",314,"Death caused by act done with intent to cause miscarriage"
91,"Act done with intent to prevent child being born alive or to cause to die after birth","",315,"Act done with intent to prevent child being born alive or to cause it to die after birth"
92,"Causing death of quick unborn child by act amounting to culpable homicide","",316,"Causing death of quick unborn child by act amounting to culpable homicide"
93,"Exposure and abandonment of child under twelve years, by parent or person having care of it","",317,"Exposure and abandonment of child under twelve years, by parent or person having care of it"
94,"Concealment of birth by secret disposal of dead body","",318,"Concealment of birth by secret disposal of dead body"
95,"Hiring, employing or engaging a child to commit an offence","New Section",,
96,"Procuration of child","",366A,"Procuration of minor girl"
97,"Kidnapping or abducting child under ten years of age with intent to steal from its person","",369,"Kidnapping or abducting child under ten years with intent to steal from its person"
98,"Selling child for purposes of prostitution, etc.","",372,"Selling minor for purposes of prostitution, etc."
99,"Buying child for purposes of prostitution, etc.","Change",373,"Buying minor for purposes of prostitution, etc."
100,"Culpable homicide","",299,"Culpable homicide"
101,"Murder","",300,"Murder"
102,"Culpable homicide by causing death of person other than person whose death was intended","",301,"Culpable homicide by causing death of person other than person whose death was intended"
103,"Punishment for murder","Change",302,"Punishment for murder"
104,"Punishment for murder by life-convict","Change",303,"Punishment for murder by life-convict"
105,"Punishment for culpable homicide not amounting to murder","Change",304,"Punishment for culpable homicide not amounting to murder"
106,"Causing death by negligence","Change",304A,"Causing death by negligence"
106(2),"Causing death by negligence (sub-section shall not come into force on 1st July 2024)","New Sub-Section",,
107,"Abetment of suicide of child or person of unsound mind","",305,"Abetment of suicide of child or insane person"
108,"Abetment of suicide","",306,"Abetment of suicide"
109,"Attempt to murder","Change",307,"Attempt to murder"
110,"Attempt to commit culpable homicide","",308,"Attempt to commit culpable homicide"
111,"Organised crime","New Section",,
112,"Petty organised crime","New Section",,
113,"Terrorist act","New Section",,
114,"Hurt","",319,"Hurt"
115(1),"Voluntarily causing hurt","Change",321,"Voluntarily causing hurt"
115(2),"Voluntarily causing hurt","Change",323,"Punishment for voluntarily causing hurt"
116,"Grievous hurt","Change",320,"Grievous hurt"
117(1),"Voluntarily causing grievous hurt","Change",322,"Voluntarily causing grievous hurt"
117(2),"Voluntarily causing grievous hurt","Change",325,"Punishment for voluntarily causing grievous hurt"
118(1),"Voluntarily causing hurt or grievous hurt by dangerous weapons or means","Change",324,"Voluntarily causing hurt by dangerous weapons or means"
118(2),"Voluntarily causing hurt or grievous hurt by dangerous weapons or means","Change",326,"Voluntarily causing grievous hurt by dangerous weapons or means"
119(1),"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act","",327,"Voluntarily causing hurt to extort property, or to constrain to an illegal to an act"
119(2),"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act","",329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act"
120(1),"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property","",330,"Voluntarily causing hurt to extort confession, or to compel restoration of property"
120(2),"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property","",331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property"
121(1),"Voluntarily causing hurt or grievous hurt to deter public servant from his duty","Change",332,"Voluntarily causing hurt to deter public servant from his duty"
121(2),"Voluntarily causing hurt or grievous hurt to deter public servant from his duty","Change",333,"Voluntarily causing grievous hurt to deter public servant from his duty"
122(1),"Voluntarily causing hurt or grievous hurt on provocation","Change",334,"Voluntarily causing hurt on provocation"
122(2),"Voluntarily causing hurt or grievous hurt on provocation","Change",335,"Voluntarily causing grievous hurt on provocation"
123,"Causing hurt by means of poison, etc., with intent to commit an offence","",328,"Causing hurt by means of poison, etc., with intent to commit and offence"
124(1),"Voluntarily causing grievous hurt by use of acid, etc.","",326A,"Voluntarily causing grievous hurt by use of acid, etc."
124(2),"Voluntarily causing grievous hurt by use of acid, etc.","",326B,"Voluntarily throwing or attempting to throw acid"
125,"Act endangering life or personal safety of others","Change",336,"Act endangering life or personal safety of others"
125(a),"Act endangering life or personal safety of others","",337,"Causing hurt by act endangering life or personal safety of others"
125(b),"Act endangering life or personal safety of others","",338,"Causing grievous hurt by act endangering life or personal safety of others"
126(1),"Wrongful restraint","Change",339,"Wrongful restraint"
126(2),"Wrongful restraint","Change",341,"Punishment for wrongful restraint"
127(1),"Wrongful confinement","",340,"Wrongful confinement"
127(2),"Wrongful confinement","",342,"Punishment for wrongful confinement"
127(3),"Wrongful confinement","",343,"Wrongful confinement for three or more days"
127(4),"Wrongful confinement","",344,"Wrongful confinement for ten or more days"
127(5),"Wrongful confinement","",345,"Wrongful confinement of person for whose liberation writ has been issued"
127(6),"Wrongful confinement","",346,"Wrongful confinement in secret"
127(7),"Wrongful confinement","",347,"Wrongful confinement to extort property, or constrain to illegal act"
127(8),"Wrongful confinement","",348,"Wrongful confinement to extort confession, or compel restoration of property"
128,"Force","",349,"Force"
129,"Criminal force","",350,"Criminal force"
130,"Assault","",351,"Assault"
131,"Punishment for assault or criminal force otherwise than on grave provocation","Change",352,"Punishment for assault or criminal force otherwise than on grave provocation"
132,"Assault or criminal force to deter public servant from discharge of his duty","",353,"Assault or criminal force to deter public servant from discharge of his duty"
133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation","",355,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation"
134,"Assault or criminal force in attempt to commit theft of property carried by a person","",356,"Assault or criminal force in attempt to commit theft of property carried by a person"
135,"Assault or criminal force in attempt to wrongfully to confine a person","Change",357,"Assault or criminal force in attempt wrongfully to confine a person"
136,"Assault or criminal force on grave provocation","Change",358,"Assault or criminal force on grave provocation"
137(1),"Kidnapping","",359,"Kidnapping"
137(1)(a),"Kidnapping","",360,"Kidnapping from India"
137(1)(b),"Kidnapping","",361,"Kidnapping from lawful guardianship"
137(2),"Kidnapping","",363,"Punishment for kidnapping"
138,"Abduction","",362,"Abduction"
139,"Kidnapping or maiming a child for purposes of begging","Change",363A,"Kidnapping or maiming a minor for purposes of begging"
140(1),"Kidnapping or abducting in order to murder or for ransom etc.","",364,"Kidnapping or abducting in order to murder"
140(2),"Kidnapping or abducting in order to murder or for ransom etc.","",364A,"Kidnapping for ransom, etc."
140(3),"Kidnapping or abducting in order to murder or for ransom etc.","",365,"Kidnapping or abducting with intent secretly and wrongfully to confine person"
140(4),"Kidnapping or abducting in order to murder or for ransom etc.","",367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc."
141,"Importation of girl or boy from foreign country","Change",366B,"Importation of girl from foreign country"
142,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person","",368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person"
143,"Trafficking of person","Change",370,"Trafficking of person"
144,"Exploitation of a trafficked person","Change",370A,"Exploitation of a trafficked person"
145,"Habitual dealing in slaves","",371,"Habitual dealing in slaves"
146,"Unlawful compulsory labour","",374,"Unlawful compulsory labour"
147,"Waging, or attempting to wage war, or abetting waging of war, against Government of India","",121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India"
148,"Conspiracy to commit offences punishable by section 147","",121A,"Conspiracy to commit offences punishable by section 121"
149,"Collecting arms, etc., with intention of waging war against Government of India","",122,"Collecting arms, etc., with intention of waging war against the Government of India"
150,"Concealing with intent to facilitate design to wage war","",123,"Concealing with intent to facilitate design to wage war"
151,"Assaulting President, Governor, etc., with intent to compel or restrain exercise of any lawful power","",124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power"
,"","Deleted",124A,"Sedition"
152,"Acts endangering sovereignty, unity and integrity of India","New Section",,
153,"Waging war against Government of any foreign State at peace with Government of India","",125,"Waging war against any Asiatic Power in alliance with the Government of India"
154,"Committing depredation on territories of foreign State at peace with Government of India","",126,"Committing depredation on territories of Power at peace with the Government of India"
155,"Receiving property taken by war or depredation mentioned in sections 153 and 154","",127,"Receiving property taken by war or depredation mentioned in sections 125 and 126"
156,"Public servant voluntarily allowing prisoner of State or war to escape","",128,"Public servant voluntarily allowing prisoner of state or war to escape"
157,"Public servant negligently suffering such prisoner to escape","",129,"Public servant negligently suffering such prisoner to escape"
158,"Aiding escape of, rescuing or harbouring such prisoner","",130,"Aiding escape of, rescuing or harbouring such prisoner"
159,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty","",131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty"
160,"Abetment of mutiny, if mutiny is committed in consequence thereof","",132,"Abetment of mutiny, if mutiny is committed in consequence thereof"
161,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office","",133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution of his office"
162,"Abetment of such assault, if assault committed","",134,"Abetment of such assault, if the assault committed"
163,"Abetment of desertion of soldier, sailor or airman","",135,"Abetment of desertion of soldier, sailor or airman"
164,"Harbouring deserter","",136,"Harbouring deserter"
165,"Deserter concealed on board merchant vessel through negligence of master","Change",137,"Deserter concealed on board merchant vessel through negligence of master"
166,"Abetment of act of insubordination by soldier, sailor or airman","Change",138,"Abetment of act of insubordination by soldier, sailor or airman"
167,"Persons subject to certain Acts","",139,"Persons subject to certain Acts"
168,"Wearing garb or carrying token used by soldier, sailor or airman","Change",140,"Wearing garb or carrying token used by soldier, sailor or airman"
169,"Candidate, electoral right defined","",171A,"""Candidate"", ""Electoral right"" defined"
170,"Bribery","",171B,"Bribery"
171,"Undue influence at elections","",171C,"Undue influence at elections"
172,"Personation at elections","",171D,"Personation at elections"
173,"Punishment for bribery","",171E,"Punishment for bribery"
174,"Punishment for undue influence or personation at an election","",171F,"Punishment for undue influence or personation at an election"
175,"False statement in connection with an election","",171G,"False statement in connection with an election"
176,"Illegal payments in connection with an election","Change",171H,"Illegal payments in connection with an election"
177,"Failure to keep election accounts","Change",171I,"Failure to keep election accounts"
178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes","",231,"Counterfeiting coin"
178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes","",255,"Counterfeiting Government stamp"
178,"Counterfeiting coin, Government stamps, currency-notes or bank-notes","",489A,"Counterfeiting currency-notes or bank-notes"
178(1),"Counterfeiting - Explanation","",,"Explanation to 489A"
178(2),"Counterfeiting - Explanation","",230,"""Coin"" defined"
178(3),"Counterfeiting - Explanation","",,"Explanation to 255"
178(4),"Counterfeiting - Explanation","",,"Explanation to 231"
178(5),"Counterfeiting - Explanation","",246,"Fraudulently or dishonestly diminishing weight or altering composition of coin"
178(5),"Counterfeiting - Explanation","",248,"Altering appearance of coin with intent that it shall pass as coin of different description (reference to 'Indian coin' removed)"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",237,"Import or export of counterfeit coin"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",238,"Import or export of counterfeits of the Indian coin"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",239,"Delivery of coin, possessed with knowledge that it is counterfeit"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",240,"Delivery of Indian coin, possessed with knowledge that it is counterfeit"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",241,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",250,"Delivery of coin, possessed with knowledge that it is altered"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",251,"Delivery of Indian coin, possessed with knowledge that it is altered"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",254,"Delivery of coin as genuine, which, when first possessed, the deliverer did not know to be altered"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",258,"Sale of counterfeit Government stamp"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",260,"Using as genuine a Government stamp known to be counterfeit"
179,"Using as genuine, forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",489B,"Using as genuine, forged or counterfeit currency-notes or bank-notes"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",242,"Possession of counterfeit coin by person who knew it to be counterfeit when he became possessed thereof"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",243,"Possession of Indian coin by person who knew it to be counterfeit when he became possessed thereof"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",252,"Possession of coin by person who knew it to be altered when he became possessed thereof"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",253,"Possession of Indian coin by person who knew it to be altered when he became possessed thereof"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",259,"Having possession of counterfeit Government stamp"
180,"Possession of forged or counterfeit coin, Government stamp, currency-notes or bank-notes","",489C,"Possession of forged or counterfeit currency-notes or bank-notes"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",233,"Making or selling instrument for counterfeiting coin"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",234,"Making or selling instrument for counterfeiting Indian coin"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",235,"Possession of instrument or material for the purpose of using the same for counterfeiting coin"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",256,"Having possession of instrument or material for counterfeiting Government stamp"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",257,"Making or selling instrument for counterfeiting Government stamp"
181,"Making or possessing instruments or materials for forging or counterfeiting coin, Government stamp, currency-notes or bank-notes","",489D,"Making or possessing instruments or materials for forging or counterfeiting currency notes or bank-notes"
,"","Deleted",236,"Abetting in India the counterfeiting out of India of coin"
182,"Making or using documents resembling currency-notes or bank-notes","Change",489E,"Making or using documents resembling currency-notes or bank-notes"
183,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government","",261,"Effacing writing from substance bearing Government stamp, or removing from document a stamp used for it, with intent to cause loss to Government"
184,"Using Government stamp known to have been before used","",262,"Using Government stamp known to have been before used"
185,"Erasure of mark denoting that stamp has been used","",263,"Erasure of mark denoting that stamp has been used"
186,"Prohibition of fictitious stamps","",263A,"Prohibition of fictitious stamps"
187,"Person employed in mint causing coin to be of different weight or composition from that fixed by law","",244,"Person employed in mint causing coin to be of different weight or composition from that fixed by law"
188,"Unlawfully taking coining instrument from mint","",245,"Unlawfully taking coining instrument from mint"
189(1),"Unlawful assembly","",141,"Unlawful assembly"
189(2),"Unlawful assembly","",143,"Punishment"
189(3),"Unlawful assembly","",145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse"
189(4),"Unlawful assembly","",144,"Joining unlawful assembly armed with deadly weapon"
189(5),"Unlawful assembly","",151,"Knowingly joining or continuing in assembly of five or more persons after it has been commanded to disperse"
189(6),"Unlawful assembly","",150,"Hiring, or conniving at hiring, of persons to join unlawful assembly"
189(7),"Unlawful assembly","",157,"Harbouring persons hired for an unlawful assembly"
189(8),"Unlawful assembly","",158,"Being hired to take part in an unlawful assembly or riot"
189(9),"Unlawful assembly","",158,"or to go armed"
190,"Every member of unlawful assembly guilty of offence committed in prosecution of common object","",149,"Every member of unlawful assembly guilty of offence committed in prosecution of common object"
191(1),"Rioting","Change",146,"Rioting"
191(2),"Rioting","Change",147,"Punishment for rioting"
191(3),"Rioting","Change",148,"Rioting, armed with deadly weapon"
192,"Wantonly giving provocation with intent to cause riot - if rioting be committed; if not committed","",153,"Wantonly giving provocation with intent to cause riot—if rioting be committed; if not committed"
